,Highest_Charting_Position,Number_Of_Times_Charted,Week_Of_Highest_Charting,Song_Name,Streams,Artist,Artist_Followers,Song_Id,Genre,Release_Date,Weeks_Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Gender,Age,Type,Country,Genre2,Genre1,Genre_Gen,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting
839,67,13,2020-11-13,Deep End,"5,622,565",Fousheé,411262,2AlYncTpVHKwHb55F9lF6O,"[""['brooklyn drill'"", "" 'nyc rap']""]",2020-06-05,"2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23",72.0,0.868,0.479,-6.687,0.445,0.703,0.102,133.928,115200.0,0.776,E,,0,,,nyc rap,brooklyn drill,drill,November,Autumn,2020
840,141,2,2020-03-06,Angst,"5,317,174",Apache 207,1674348,5yUzqd3H7cmJ1no6B4uTzu,"[""['german hip hop']""]",2021-01-01,"2021-01-01--2021-01-08
2020-03-06--2020-03-13",67.0,0.599,0.79,-4.352,0.386,0.0213,0.0778,100.119,201501.0,0.528,A,male,22,person,DE,,german hip hop,hip hop,March,Spring,2020
841,50,6,2020-07-03,Bläulich,"4,599,408",Apache 207,1674348,2WRTnY0slmFgWcrmEr8dPj,"[""['german hip hop']""]",2020-07-31,"2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10",60.0,0.79,0.704,-7.935,0.417,0.069,0.113,154.007,196213.0,0.212,A#/Bb,male,22,person,DE,,german hip hop,hip hop,July,Summer,2020
842,141,1,2020-07-31,Sie ruft,"5,752,169",Apache 207,1674348,4CyCHkhRsDXUeP5K4Y3xjU,"[""['german hip hop']""]",2020-07-31,2020-07-31--2020-08-07,59.0,0.819,0.507,-7.336,0.0881,0.482,0.105,130.009,152013.0,0.634,C#/Db,male,22,person,DE,,german hip hop,hip hop,July,Summer,2020
843,86,1,2020-06-05,Boot,"6,375,562",Apache 207,1674348,12KENAKQY5JvAsRURN7TzB,"[""['german hip hop']""]",2020-07-31,2020-06-05--2020-06-12,54.0,0.534,0.565,-7.546,0.307,0.0627,0.112,194.034,193360.0,0.529,G#/Ab,male,22,person,DE,,german hip hop,hip hop,June,Summer,2020
844,45,4,2020-05-08,Fame,"4,556,947",Apache 207,1674348,3goH7O78TLkV9RhCAyM4AT,"[""['german hip hop']""]",2020-05-08,"2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15",62.0,0.811,0.645,-8.008,0.104,0.184,0.103,129.967,173761.0,0.474,C#/Db,male,22,person,DE,,german hip hop,hip hop,May,Spring,2020
845,151,1,2020-02-28,Matrix,"5,724,739",Apache 207,1674348,7ygVaACDENw4PgLbN1awFE,"[""['german hip hop']""]",2020-02-24,2020-02-28--2020-03-06,55.0,0.789,0.509,-8.766,0.291,0.768,0.272,114.957,183793.0,0.418,A,male,22,person,DE,,german hip hop,hip hop,February,Winter,2020
846,150,2,2019-12-27,Roller,"4,732,292",Apache 207,1674348,6hw1Sy9wZ8UCxYGdpKrU6M,"[""['german hip hop']""]",2019-10-25,"2020-01-03--2020-01-10
2019-12-27--2020-01-03",70.0,0.941,0.758,-6.47,0.17,0.0256,0.193,128.017,157093.0,0.683,A#/Bb,male,22,person,DE,,german hip hop,hip hop,December,Winter,2019
847,13,44,2020-04-10,Sunday Best,"4,858,392",Surfaces,724903,1Cv1YLb4q0RzL6pybtaMLo,"[""['bedroom soul'"", "" 'pop']""]",2019-01-06,"2021-01-01--2021-01-08
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24",80.0,0.878,0.525,-6.832,0.0578,0.183,0.0714,112.022,158571.0,0.694,F,mixed,3,group,US,pop,pop,pop,April,Spring,2020
848,49,4,2020-12-11,Tequila Shots,"4,540,781",Kid Cudi,5002317,30KctD1WsHKTIYczXjip5a,"[""['hip hop'"", "" 'ohio hip hop'"", "" 'pop rap'"", "" 'rap']""]",2020-12-11,"2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18",74.0,0.712,0.556,-7.214,0.0531,0.084,0.527,90.494,193293.0,0.22,F,male,36,person,US,ohio hip hop,hip hop,hip hop,December,Winter,2020
849,54,3,2020-12-11,Show Out (with Skepta & Pop Smoke),"5,209,372",Kid Cudi,5002317,5CFJRZRq6sdKKtRwNPWbYv,"[""['hip hop'"", "" 'ohio hip hop'"", "" 'pop rap'"", "" 'rap']""]",2020-12-11,"2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18",76.0,0.619,0.589,-6.531,0.124,0.43,0.378,143.896,174960.0,0.158,C#/Db,male,36,person,US,ohio hip hop,hip hop,hip hop,December,Winter,2020
